date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-08-02,札幌,6,01251306,3:250,3:120;2:110,,2-3:170,2-3:110;3-6:200;2-6:210,3-2:390,2-3-6:330,3-2-6:1590
2025-08-02,札幌,7,01251307,7:180,7:110;10:170;6:170,7-8:630,7-10:660,7-10:260;6-7:270;6-10:550,7-10:860,6-7-10:920,7-10-6:3210
2025-08-02,札幌,8,01251308,8:160,8:110;3:150;10:180,3-7:600,3-8:650,3-8:270;8-10:350;3-10:540,8-3:830,3-8-10:1560,8-3-10:4100
2025-08-02,札幌,9,01251309,9:670,9:240;6:240;2:170,6-8:1220,6-9:3140,6-9:960;2-9:450;2-6:610,9-6:4520,2-6-9:2930,9-6-2:18360
2025-08-02,札幌,10,01251310,13:400,13:130;14:300;5:130,8-8:2310,13-14:2390,13-14:810;5-13:300;5-14:950,13-14:3960,5-13-14:2660,13-14-5:18370
2025-08-02,札幌,11,01251311,13:4160,13:790;4:330;12:310,2-7:3390,4-13:20930,4-13:5460;12-13:3770;4-12:1850,13-4:44950,4-12-13:62800,13-4-12:491390
2025-08-02,札幌,12,01251312,11:560,11:220;4:180;1:190,3-7:940,4-11:2910,4-11:910;1-11:670;1-4:750,11-4:6120,1-4-11:4510,11-4-1:32950
2025-08-03,中京,1,07253401,5:130,5:100;3:100,,3-5:150,3-5:110;1-5:130;1-3:180,5-3:170,1-3-5:260,5-3-1:500
2025-08-03,中京,2,07253402,4:770,4:280;11:600;3:610,3-6:3050,4-11:5710,4-11:1660;3-4:2360;3-11:3770,4-11:9940,3-4-11:34030,4-11-3:155490
2025-08-03,中京,3,07253403,2:690,2:330;1:260,,1-2:1200,1-2:450;2-7:580;1-7:470,2-1:2540,1-2-7:1850,2-1-7:10140
2025-08-03,中京,4,07253404,1:400,1:140;8:180;9:130,1-4:840,1-8:1650,1-8:480;1-9:300;8-9:430,1-8:2630,1-8-9:1720,1-8-9:10720
2025-08-03,中京,5,07253405,2:350,2:120;16:160;13:120,1-8:1110,2-16:1420,2-16:440;2-13:190;13-16:310,2-16:2420,2-13-16:1040,2-16-13:6390
2025-08-03,中京,6,07253406,2:1180,2:260;11:320;8:140,1-6:1520,2-11:6350,2-11:1670;2-8:480;8-11:740,2-11:15050,2-8-11:4030,2-11-8:46030
2025-08-03,中京,7,07253407,5:2880,5:470;9:170;3:160,5-7:1200,5-9:6040,5-9:1630;3-5:1830;3-9:400,5-9:15440,3-5-9:6460,5-9-3:67920
2025-08-03,中京,8,07253408,5:190,5:110;4:130;2:130,,4-5:400,4-5:180;2-5:170;2-4:230,5-4:520,2-4-5:410,5-4-2:1240
2025-08-03,中京,9,07253409,2:290,2:140;4:150;18:220,1-2:730,2-4:730,2-4:350;2-18:540;4-18:490,2-4:1410,2-4-18:1940,2-4-18:7280
2025-08-03,中京,10,07253410,15:290,15:170;9:310;14:290,5-8:970,9-15:1300,9-15:520;14-15:530;9-14:1190,15-9:1960,9-14-15:2910,15-9-14:12070
2025-08-03,中京,11,07253411,8:260,8:130;3:270;4:150,,3-8:2100,3-8:590;4-8:230;3-4:840,8-3:2530,3-4-8:1980,8-3-4:9960
2025-08-03,中京,12,07253412,6:960,6:280;10:980;8:200,3-5:2470,6-10:24850,6-10:5790;6-8:900;8-10:4520,6-10:40750,6-8-10:41870,6-10-8:353260
2025-08-03,新潟,1,04252401,1:630,1:280;7:190;10:1260,1-5:1150,1-7:2260,1-7:870;1-10:5610;7-10:5780,1-7:3960,1-7-10:38600,1-7-10:128950
2025-08-03,新潟,2,04252402,7:520,7:150;8:120;14:140,4-5:680,7-8:690,7-8:300;7-14:420;8-14:310,7-8:1560,7-8-14:1310,7-8-14:6530
2025-08-03,新潟,3,04252403,4:280,4:390;5:390,,4-5:530,4-5:120;1-4:110;1-5:110,4-5:1080,1-4-5:130,4-5-1:1720
2025-08-03,新潟,4,04252404,8:150,8:110;4:150;6:490,4-6:400,4-8:360,4-8:200;6-8:900;4-6:1630,8-4:420,4-6-8:2690,8-4-6:5700
2025-08-03,新潟,5,04252405,7:520,7:200;11:500;13:710,4-6:660,7-11:5280,7-11:1660;7-13:2390;11-13:6290,7-11:8850,7-11-13:31400,7-11-13:156690
2025-08-03,新潟,6,04252406,1:200,1:130;4:180,,1-4:520,1-4:130;1-3:110;3-4:120,1-4:860,1-3-4:130,1-4-3:1010
2025-08-03,新潟,7,04252407,6:460,6:200;13:150;10:440,3-7:780,6-13:1200,6-13:520;6-10:1670;10-13:1310,6-13:2330,6-10-13:7110,6-13-10:25830
2025-08-03,新潟,8,04252408,3:330,3:150;10:560;9:130,3-8:4120,3-10:6330,3-10:1700;3-9:250;9-10:1060,3-10:6980,3-9-10:3630,3-10-9:29260
2025-08-03,新潟,9,04252409,9:180,9:110;7:190;14:210,4-5:720,7-9:780,7-9:340;9-14:370;7-14:1230,9-7:1030,7-9-14:2030,9-7-14:5930
2025-08-03,新潟,10,04252410,1:860,1:280;11:140;7:520,1-6:710,1-11:1060,1-11:540;1-7:3300;7-11:1270,1-11:2870,1-7-11:8360,1-11-7:39010
2025-08-03,新潟,11,04252411,2:410,2:150;12:300;8:140,2-7:1980,2-12:2970,2-12:850;2-8:250;8-12:830,2-12:4810,2-8-12:2650,2-12-8:19710
2025-08-03,新潟,12,04252412,4:280,4:150;6:390;10:1010,4-5:540,4-6:2840,4-6:890;4-10:3880;6-10:12850,4-6:3700,4-6-10:50650,4-6-10:161210
2025-08-03,札幌,1,01251401,8:390,8:210;11:550;6:300,6-8:1770,8-11:4630,8-11:1610;6-8:880;6-11:3100,8-11:7350,6-8-11:17380,8-11-6:61420
2025-08-03,札幌,2,01251402,13:710,13:460;3:660;2:440,3-8:5580,3-13:5600,3-13:1220;2-13:880;2-3:1500,13-3:10340,2-3-13:13970,13-3-2:66430
2025-08-03,札幌,3,01251403,16:220,16:120;1:310;4:230,1-8:530,1-16:2100,1-16:860;4-16:490;1-4:1820,16-1:3530,1-4-16:6420,16-1-4:21060
2025-08-03,札幌,4,01251404,8:300,8:150;12:340;7:280,5-7:1060,8-12:1990,8-12:910;7-8:640;7-12:2050,8-12:3540,7-8-12:5990,8-12-7:26980
2025-08-03,札幌,5,01251405,4:400,4:110;8:110;6:110,,4-8:320,4-8:130;4-6:230;6-8:140,4-8:730,4-6-8:350,4-8-6:1830
2025-08-03,札幌,6,01251406,13:350,13:160;8:1240;5:350,5-8:820,8-13:11320,8-13:3480;5-13:870;5-8:8010,13-8:16060,5-8-13:27980,13-8-5:137680
2025-08-03,札幌,7,01251407,6:460,6:180;3:340;12:280,3-5:1260,3-6:2140,3-6:760;6-12:530;3-12:1120,6-3:3310,3-6-12:3840,6-3-12:20970
2025-08-03,札幌,8,01251408,6:220,6:140;3:400;8:150,3-6:2650,3-6:2810,3-6:1030;6-8:280;3-8:1390,6-3:4470,3-6-8:4110,6-3-8:20070
2025-08-03,札幌,9,01251409,1:1510,1:550;3:410;2:350,1-3:10600,1-3:9820,1-3:2650;1-2:2540;2-3:1600,1-3:18840,1-2-3:22550,1-3-2:149780
2025-08-03,札幌,10,01251410,11:390,11:180;5:410;4:220,4-7:830,5-11:3410,5-11:1100;4-11:750;4-5:1840,11-5:4700,4-5-11:8720,11-5-4:45030
2025-08-03,札幌,11,01251411,10:290,10:120;4:150;2:170,3-6:730,4-10:800,4-10:350;2-10:360;2-4:590,10-4:1740,2-4-10:1730,10-4-2:6540
2025-08-03,札幌,12,01251412,6:290,6:110;7:120;5:120,,6-7:600,6-7:200;5-6:170;5-7:250,6-7:990,5-6-7:530,6-7-5:2510
2025-08-09,中京,1,07253501,9:510,9:180;4:150;5:910,4-8:380,4-9:1040,4-9:510;5-9:1850;4-5:2560,9-4:2460,4-5-9:13460,9-4-5:50530
2025-08-09,中京,2,07253502,2:760,2:320;8:400;13:1250,2-5:1410,2-8:4500,2-8:1410;2-13:3650;8-13:4650,2-8:8550,2-8-13:50540,2-8-13:183730
2025-08-09,中京,3,07253503,10:5370,10:530;6:310;3:130,5-7:12590,6-10:19770,6-10:5060;3-10:1450;3-6:600,10-6:62600,3-6-10:15360,10-6-3:253300
2025-08-09,中京,4,07253504,8:320,8:130;3:260;4:140,3-7:1430,3-8:2570,3-8:690;4-8:260;3-4:540,8-3:4690,3-4-8:2020,8-3-4:13710
2025-08-09,中京,5,07253505,16:440,16:170;7:180;6:350,4-8:610,7-16:1030,7-16:370;6-16:870;6-7:1180,16-7:2160,6-7-16:3560,16-7-6:13280
2025-08-09,中京,6,07253506,4:530,4:240;1:500;8:590,1-4:4820,1-4:5640,1-4:1760;4-8:1980;1-8:4220,4-1:8340,1-4-8:30730,4-1-8:117430
2025-08-09,中京,7,07253507,13:420,13:150;10:150;3:180,5-7:650,10-13:1120,10-13:430;3-13:490;3-10:450,13-10:2280,3-10-13:1900,13-10-3:8530
2025-08-09,中京,8,07253508,4:310,4:160;2:260,,2-4:860,2-4:260;3-4:490;2-3:750,4-2:1340,2-3-4:2420,4-2-3:7860
