date,venue,race_no,race_key_raw,win,place,frame_quinella,quinella,wide,exacta,trio,trifecta
2025-03-02,中山,7,06252207,1:320,1:110;4:190;6:110,1-4:2460,1-4:1870,1-4:400;1-6:150;4-6:350,1-4:3350,1-4-6:1050,1-4-6:9010
2025-03-02,中山,8,06252208,11:520,11:210;4:680;12:220,2-6:3980,4-11:6830,4-11:1620;11-12:440;4-12:1930,11-4:9840,4-11-12:8810,11-4-12:54210
2025-03-02,中山,9,06252209,9:4120,9:960;10:3470;3:420,7-8:4000,9-10:117000,9-10:18760;3-9:2830;3-10:15110,9-10:279300,3-9-10:219320,9-10-3:2508520
2025-03-02,中山,10,06252210,1:290,1:140;14:310;6:140,1-7:1710,1-14:2430,1-14:920;1-6:260;6-14:1010,1-14:3190,1-6-14:2470,1-14-6:13900
2025-03-02,中山,11,06252211,1:310,1:140;4:190;8:130,1-2:780,1-4:1050,1-4:480;1-8:260;4-8:440,1-4:1540,1-4-8:1360,1-4-8:5800
2025-03-02,中山,12,06252212,10:1330,10:300;5:140;4:320,3-5:2170,5-10:2040,5-10:760;4-10:2810;4-5:760,10-5:6110,4-5-10:8770,10-5-4:59120
2025-03-02,阪神,1,09251201,4:330,4:150;9:120;7:440,4-7:420,4-9:360,4-9:210;4-7:1300;7-9:1090,4-9:780,4-7-9:3870,4-9-7:12460
2025-03-02,阪神,2,09251202,2:1110,2:340;8:150;10:3810,1-4:2010,2-8:2050,2-8:740;2-10:23020;8-10:5620,2-8:4310,2-8-10:75730,2-8-10:345050
2025-03-02,阪神,3,09251203,7:190,7:110;12:130;11:140,6-8:220,7-12:410,7-12:210;7-11:300;11-12:440,7-12:630,7-11-12:800,7-12-11:2290
2025-03-02,阪神,4,09251204,9:340,9:160;16:210;7:1030,5-8:450,9-16:1000,9-16:430;7-9:2850;7-16:4450,9-16:1540,7-9-16:15990,9-16-7:49820
2025-03-02,阪神,5,09251205,5:3260,5:710;13:160;12:600,3-7:660,5-13:3640,5-13:1740;5-12:6630;12-13:1730,5-13:8510,5-12-13:25460,5-13-12:181990
2025-03-02,阪神,6,09251206,2:1490,2:420;3:240;4:280,1-2:1820,2-3:5200,2-3:1710;2-4:1440;3-4:1030,2-3:13840,2-3-4:13100,2-3-4:110890
2025-03-02,阪神,7,09251207,2:530,2:170;12:180;7:110,1-6:1440,2-12:2880,2-12:730;2-7:280;7-12:310,2-12:6590,2-7-12:1630,2-12-7:18700
2025-03-02,阪神,8,09251208,14:520,14:250;5:490;10:750,4-8:1980,5-14:7070,5-14:1940;10-14:2690;5-10:8760,14-5:11130,5-10-14:53600,14-5-10:202400
2025-03-02,阪神,9,09251209,1:340,1:120;2:110;4:230,1-2:320,1-2:280,1-2:180;1-4:650;2-4:430,1-2:590,1-2-4:1300,1-2-4:4750
2025-03-02,阪神,10,09251210,8:350,8:100;3:100;9:150,3-7:180,3-8:180,3-8:120;8-9:320;3-9:250,8-3:700,3-8-9:460,8-3-9:2520
2025-03-02,阪神,11,09251211,2:3930,2:690;11:380;9:140,2-7:9410,2-11:24010,2-11:5650;2-9:1290;9-11:930,2-11:64260,2-9-11:15660,2-11-9:192330
2025-03-02,阪神,12,09251212,9:380,9:180;13:1860;10:200,5-7:5050,9-13:14300,9-13:4330;9-10:470;10-13:5740,9-13:22440,9-10-13:19370,9-13-10:126530
2025-03-02,小倉,1,10251c01,9:140,9:110;15:210;3:250,5-8:410,9-15:620,9-15:320;3-9:390;3-15:1030,9-15:880,3-9-15:1540,9-15-3:4020
2025-03-02,小倉,2,10251c02,17:550,17:170;10:150;14:380,5-8:720,10-17:990,10-17:420;14-17:1190;10-14:910,17-10:1990,10-14-17:3880,17-10-14:16590
2025-03-02,小倉,3,10251c03,7:230,7:120;5:160;9:130,4-5:870,5-7:1080,5-7:350;7-9:200;5-9:360,7-5:1860,5-7-9:790,7-5-9:5560
2025-03-02,小倉,4,10251c04,3:160,3:110;7:160;9:550,3-6:240,3-7:440,3-7:240;3-9:1040;7-9:1310,3-7:690,3-7-9:4060,3-7-9:9020
2025-03-02,小倉,5,10251c05,7:1400,7:350;13:790;2:150,4-7:2990,7-13:21740,7-13:5390;2-7:940;2-13:2210,7-13:39270,2-7-13:19270,7-13-2:171590
2025-03-02,小倉,6,10251c06,7:710,7:250;14:210;12:150,4-7:4080,7-14:4260,7-14:1670;7-12:770;12-14:500,7-14:8560,7-12-14:5910,7-14-12:42790
2025-03-02,小倉,7,10251c07,9:6130,9:1630;13:330;4:630,5-7:2720,9-13:13350,9-13:3970;4-9:14830;4-13:2450,9-13:22290,4-9-13:122240,9-13-4:885280
2025-03-02,小倉,8,10251c08,12:350,12:140;8:320;13:140,5-7:560,8-12:2600,8-12:950;12-13:310;8-13:930,12-8:3680,8-12-13:3080,12-8-13:17340
2025-03-02,小倉,9,10251c09,14:710,14:150;6:130;8:150,3-7:590,6-14:840,6-14:280;8-14:620;6-8:280,14-6:1840,6-8-14:1380,14-6-8:11650
2025-03-02,小倉,10,10251c10,5:1530,5:460;12:260;10:320,3-6:5660,5-12:5790,5-12:2070;5-10:2140;10-12:850,5-12:13940,5-10-12:14990,5-12-10:130740
2025-03-02,小倉,11,10251c11,12:1240,12:330;10:280;6:370,7-8:1450,10-12:4000,10-12:1240;6-12:1880;6-10:1220,12-10:8920,6-10-12:12340,12-10-6:79110
2025-03-02,小倉,12,10251c12,16:350,16:160;1:300;7:2040,1-8:430,1-16:1980,1-16:800;7-16:6170;1-7:12000,16-1:3140,1-7-16:57910,16-1-7:180530
2025-06-28,函館,1,02251501,6:370,6:180;11:140;2:310,4-6:500,6-11:780,6-11:380;2-6:1050;2-11:790,6-11:1360,2-6-11:3370,6-11-2:10850
2025-06-28,函館,2,02251502,3:400,3:150;2:130;1:440,2-3:580,2-3:580,2-3:280;1-3:1490;1-2:820,3-2:1380,1-2-3:2770,3-2-1:13450
2025-06-28,函館,3,02251503,9:150,9:110;4:430;10:680,3-6:630,4-9:3100,4-9:1090;9-10:950;4-10:10930,9-4:4180,4-9-10:16990,9-4-10:53690
2025-06-28,函館,4,02251504,4:210,4:130;12:240;8:410,4-8:800,4-12:1290,4-12:530;4-8:840;8-12:3050,4-12:1890,4-8-12:6810,4-12-8:24230
2025-06-28,函館,5,02251505,5:500,5:200;3:200;14:500,2-3:990,3-5:2190,3-5:770;5-14:1840;3-14:2310,5-3:3360,3-5-14:13060,5-3-14:54460
2025-06-28,函館,6,02251506,10:490,10:130;5:220;3:110,5-7:890,5-10:2500,5-10:570;3-10:180;3-5:350,10-5:3790,3-5-10:1210,10-5-3:11920
2025-06-28,函館,7,02251507,13:500,13:220;12:550;15:190,6-7:3230,12-13:5650,12-13:1520;13-15:650;12-15:1690,13-12:9160,12-13-15:9910,13-12-15:64350
2025-06-28,函館,8,02251508,2:1580,2:460;11:270;8:200,2-8:4550,2-11:6420,2-11:1850;2-8:1770;8-11:940,2-11:12790,2-8-11:10700,2-11-8:84480
2025-06-28,函館,9,02251509,3:600,3:300;7:390;6:180,,3-7:1260,3-7:410;3-6:270;6-7:270,3-7:3080,3-6-7:1340,3-7-6:9770
2025-06-28,函館,10,02251510,7:230,7:140;2:260;8:230,1-4:970,2-7:1510,2-7:630;7-8:470;2-8:1130,7-2:1950,2-7-8:3440,7-2-8:10730
2025-06-28,函館,11,02251511,10:2580,10:570;12:370;16:170,5-6:9710,10-12:16280,10-12:4080;10-16:2640;12-16:1110,10-12:33630,10-12-16:28450,10-12-16:241040
2025-06-28,函館,12,02251512,12:800,12:320;7:270;4:290,5-7:1460,7-12:2450,7-12:850;4-12:1790;4-7:1340,12-7:4190,4-7-12:10310,12-7-4:45000
2025-06-28,福島,1,03252101,2:560,2:380;4:590;9:470,2-4:2620,2-4:2440,2-4:610;2-9:500;4-9:890,2-4:5290,2-4-9:2940,2-4-9:21460
2025-06-28,福島,2,03252102,3:300,3:120;1:120;8:930,1-2:250,1-3:240,1-3:150;3-8:2280;1-8:2280,3-1:540,1-3-8:5940,3-1-8:20100
2025-06-28,福島,3,03252103,12:360,12:180;14:1030;10:330,7-8:4860,12-14:11610,12-14:2620;10-12:1010;10-14:6340,12-14:16990,10-12-14:32110,12-14-10:150510
2025-06-28,福島,4,03252104,2:300,2:130;7:630;9:170,1-4:2250,2-7:4820,2-7:1410;2-9:290;7-9:2490,2-7:7640,2-7-9:5510,2-7-9:32380
